#Fluorescent yield data from Kaastra and Mewe 1993A&AS...97..443K
label    z  state  s   delta  il    E      omega
  553   16    1    1     1   17       7.3   0.0144
  554   16    1    1     2   17      20.4   0.0250
  555   16    1    1     3   17      34.2   0.2058
  556   16    1    1     4   17      49.3   0.0439
  557   16    1    2     0    7     221.6   0.0001
  558   16    1    2     0    8     221.6   0.0001
  559   16    1    2     1    9     155.6   0.0001
  560   16    1    2     1   12     154.3   0.0004
  561   16    1    2     1   16       7.3   0.0202
  562   16    1    2     2   16       8.8   0.4814
  563   16    1    2     1   17       7.3   0.0201
  564   16    1    2     2   17      20.4   0.3947
  565   16    1    3     0    9     149.0   0.0003
  566   16    1    3     0   16       9.8   0.0001
  567   16    1    3     1   16       7.3   0.1224
  568   16    1    3     0   17       9.8   0.0001
  569   16    1    3     1   17       7.3   0.2161
  570   16    1    4     0   12     147.8   0.0005
  571   16    1    4     0   16       9.8   0.0002
  572   16    1    4     1   16       7.3   0.2365
  573   16    1    4     0   17       9.8   0.0002
  574   16    1    4     1   17       7.3   0.1456
  575   16    1    5     0   16       9.8   0.5000
  576   16    1    5     0   17       9.8   0.5000
  577   16    2    1     0    1    2321.7   0.0264
  578   16    2    1     0    2    2322.7   0.0527
  579   16    2    1     0    3    2484.8   0.0024
  580   16    2    1     0    4    2484.8   0.0012
  581   16    2    1     1    9     160.4   0.0001
  582   16    2    1     2    9     164.7   0.0002
  583   16    2    1     3    9     168.5   0.0006
  584   16    2    1     4    9     171.2   0.0080
  585   16    2    1     0   12     154.3   0.0001
  586   16    2    1     1   12     159.2   0.0004
  587   16    2    1     2   12     163.4   0.0033
  588   16    2    1     3   12     167.3   0.0045
  589   16    2    1     4   12     170.0   0.0241
  590   16    2    1     1   16       8.8   0.0327
  591   16    2    1     2   16      10.3   0.0603
  592   16    2    1     3   16      25.4   0.2630
  593   16    2    1     4   16      40.7   0.0091
  594   16    2    1     1   17      20.4   0.0103
  595   16    2    1     2   17      34.2   0.0120
  596   16    2    1     3   17      49.3   0.0356
  597   16    2    1     4   17      64.6   0.0038
  598   16    2    2     0    7     225.6   0.0001
  599   16    2    2     1    9     160.4   0.0002

  600   16    2    2     1   12     159.2   0.0012
  601   16    2    2     1   16       8.8   0.0267
  602   16    2    2     2   16      10.3   0.8600
  603   16    2    2     1   17      20.4   0.0130
  604   16    2    2     2   17      34.2   0.2442
  605   16    2    3     0    9     155.6   0.0003
  606   16    2    3     0   16       7.3   0.0002
  607   16    2    3     1   16       8.8   0.2267
  608   16    2    3     0   17       7.3   0.0001
  609   16    2    3     1   17      20.4   0.2042
  610   16    2    4     0   12     154.3   0.0011
  611   16    2    4     0   16       7.3   0.0008
  612   16    2    4     1   16       8.8   0.4758
  613   16    2    4     0   17       7.3   0.0004
  614   16    2    4     1   17      20.4   0.0778
  615   16    2    5     0   16       7.3   0.6667
  616   16    2    5     0   17       7.3   0.3333
  617   16    3    1     0    1    2335.6   0.0269
  618   16    3    1     0    2    2337.2   0.0539
  619   16    3    1     0    3    2505.0   0.0024
