 ============================================================
      i NZ NE iSLP jSLP iLV jLV        gF     WL(A)   gi   gj
    305  1  1  220  211   6   8 -1.18E+00 2.780E+05 10.0  6.0
    306  1  1  220  211   6   9 -2.65E-01 1.621E+05 10.0  6.0
    307  1  1  220  211   7   1  3.13E-02 3.837E+03 10.0  6.0
    308  1  1  220  211   7   2  6.69E-02 9.232E+03 10.0  6.0
    309  1  1  220  211   7   3  1.21E-01 1.818E+04 10.0  6.0
    310  1  1  220  211   7   4  2.19E-01 3.297E+04 10.0  6.0
    311  1  1  220  211   7   5  4.33E-01 5.908E+04 10.0  6.0
    312  1  1  220  211   7   6  1.05E+00 1.131E+05 10.0  6.0
    313  1  1  220  211   7   7  4.33E+00 2.780E+05 10.0  6.0
    314  1  1  220  211   7   8  0.00E+00 1.000E+30 10.0  6.0
    315  1  1  220  211   7   9 -1.44E+00 3.887E+05 10.0  6.0
    316  1  1  220  211   8   1  2.22E-02 3.799E+03 10.0  6.0
    317  1  1  220  211   8   2  4.61E-02 9.017E+03 10.0  6.0
    318  1  1  220  211   8   3  8.00E-02 1.737E+04 10.0  6.0
    319  1  1  220  211   8   4  1.35E-01 3.039E+04 10.0  6.0
    320  1  1  220  211   8   5  2.36E-01 5.129E+04 10.0  6.0
    321  1  1  220  211   8   6  4.59E-01 8.760E+04 10.0  6.0
    322  1  1  220  211   8   7  1.11E+00 1.621E+05 10.0  6.0
    323  1  1  220  211   8   8  4.56E+00 3.887E+05 10.0  6.0
    324  1  1  220  211   8   9  0.00E+00 1.000E+30 10.0  6.0
    325  1  1  231  220   1   1  1.02E+01 1.876E+04 14.0 10.0
    326  1  1  231  220   1   2  0.00E+00 1.000E+30 14.0 10.0
    327  1  1  231  220   1   3 -1.24E-01 4.052E+04 14.0 10.0
    328  1  1  231  220   1   4 -2.22E-02 2.626E+04 14.0 10.0
    329  1  1  231  220   1   5 -7.90E-03 2.166E+04 14.0 10.0
    330  1  1  231  220   1   6 -3.80E-03 1.945E+04 14.0 10.0
    331  1  1  231  220   1   7 -2.16E-03 1.818E+04 14.0 10.0
    332  1  1  231  220   1   8 -1.36E-03 1.737E+04 14.0 10.0
    333  1  1  231  220   2   1  1.57E+00 1.282E+04 14.0 10.0
    334  1  1  231  220   2   2  8.90E+00 4.052E+04 14.0 10.0
    335  1  1  231  220   2   3  0.00E+00 1.000E+30 14.0 10.0
    336  1  1  231  220   2   4 -3.26E-01 7.460E+04 14.0 10.0
    337  1  1  231  220   2   5 -6.20E-02 4.654E+04 14.0 10.0
    338  1  1  231  220   2   6 -2.28E-02 3.741E+04 14.0 10.0
    339  1  1  231  220   2   7 -1.12E-02 3.297E+04 14.0 10.0
    340  1  1  231  220   2   8 -6.42E-03 3.039E+04 14.0 10.0
    341  1  1  231  220   3   1  5.39E-01 1.094E+04 14.0 10.0
    342  1  1  231  220   3   2  1.86E+00 2.626E+04 14.0 10.0
    343  1  1  231  220   3   3  8.44E+00 7.460E+04 14.0 10.0
    344  1  1  231  220   3   4  0.00E+00 1.000E+30 14.0 10.0
    345  1  1  231  220   3   5 -5.79E-01 1.237E+05 14.0 10.0
    346  1  1  231  220   3   6 -1.15E-01 7.502E+04 14.0 10.0
    347  1  1  231  220   3   7 -4.31E-02 5.908E+04 14.0 10.0
    348  1  1  231  220   3   8 -2.14E-02 5.129E+04 14.0 10.0
    349  1  1  231  220   4   1  2.56E-01 1.005E+04 14.0 10.0
    350  1  1  231  220   4   2  7.23E-01 2.166E+04 14.0 10.0
    351  1  1  231  220   4   3  1.97E+00 4.654E+04 14.0 10.0
    352  1  1  231  220   4   4  8.33E+00 1.237E+05 14.0 10.0
    353  1  1  231  220   4   5  0.00E+00 1.000E+30 14.0 10.0
    354  1  1  231  220   4   6 -8.67E-01 1.906E+05 14.0 10.0
    355  1  1  231  220   4   7 -1.77E-01 1.131E+05 14.0 10.0
    356  1  1  231  220   4   8 -6.75E-02 8.760E+04 14.0 10.0
    357  1  1  231  220   5   1  1.44E-01 9.549E+03 14.0 10.0
    358  1  1  231  220   5   2  3.66E-01 1.945E+04 14.0 10.0
    359  1  1  231  220   5   3  8.08E-01 3.741E+04 14.0 10.0
    360  1  1  231  220   5   4  2.04E+00 7.502E+04 14.0 10.0
    361  1  1  231  220   5   5  8.39E+00 1.906E+05 14.0 10.0
    362  1  1  231  220   5   6  0.00E+00 1.000E+30 14.0 10.0
    363  1  1  231  220   5   7 -1.18E+00 2.780E+05 14.0 10.0
    364  1  1  231  220   5   8 -2.46E-01 1.621E+05 14.0 10.0
    365  1  1  231  220   6   1  9.03E-02 9.232E+03 14.0 10.0
    366  1  1  231  220   6   2  2.15E-01 1.818E+04 14.0 10.0
    367  1  1  231  220   6   3  4.24E-01 3.297E+04 14.0 10.0
    368  1  1  231  220   6   4  8.62E-01 5.908E+04 14.0 10.0
